day,count
2019-01-01,97
2019-01-02,94
2019-01-03,93
2019-01-04,87
2019-01-05,95
2019-01-06,99
2019-01-07,93
2019-01-08,82
2019-01-09,72
2019-01-10,98
2019-01-11,95
2019-01-12,83
2019-01-13,52
2019-01-14,76
2019-01-15,105
2019-01-16,76
2019-01-17,70
2019-01-18,89
2019-01-19,74
2019-01-20,117
2019-01-21,91
2019-01-22,110
2019-01-23,99
2019-01-24,113
2019-01-25,98
2019-01-26,75
2019-01-27,73
2019-01-28,82
2019-01-29,59
2019-01-30,69
2019-01-31,67
2019-02-01,62
2019-02-02,61
2019-02-03,83
2019-02-04,98
2019-02-05,81
2019-02-06,75
2019-02-07,89
2019-02-08,121
2019-02-09,94
2019-02-10,86
2019-02-11,70
2019-02-12,92
2019-02-13,95
2019-02-14,99
2019-02-15,105
2019-02-16,76
2019-02-17,64
2019-02-18,88
2019-02-19,81
2019-02-20,43
2019-02-21,77
2019-02-22,98
2019-02-23,71
2019-02-24,62
2019-02-25,81
2019-02-26,97
2019-02-27,73
2019-02-28,82
2019-03-01,82
2019-03-02,74
2019-03-03,74
2019-03-04,86
2019-03-05,74
2019-03-06,85
2019-03-07,80
2019-03-08,70
2019-03-09,76
2019-03-10,70
2019-03-11,85
2019-03-12,71
2019-03-13,68
2019-03-14,77
2019-03-15,90
2019-03-16,87
2019-03-17,77
2019-03-18,91
2019-03-19,74
2019-03-20,88
2019-03-21,54
2019-03-22,80
2019-03-23,101
2019-03-24,71
2019-03-25,85
2019-03-26,89
2019-03-27,73
2019-03-28,85
2019-03-29,80
2019-03-30,98
2019-03-31,59
2019-04-01,98
2019-04-02,81
2019-04-03,70
2019-04-04,82
2019-04-05,81
2019-04-06,88
2019-04-07,76
2019-04-08,96
2019-04-09,87
2019-04-10,77
2019-04-11,73
2019-04-12,85
2019-04-13,75
2019-04-14,91
2019-04-15,98
2019-04-16,80
2019-04-17,92
2019-04-18,77
2019-04-19,85
2019-04-20,92
2019-04-21,76
2019-04-22,87
2019-04-23,91
2019-04-24,100
2019-04-25,94
2019-04-26,81
2019-04-27,86
2019-04-28,92
2019-04-29,97
2019-04-30,64
2019-05-01,79
2019-05-02,71
2019-05-03,97
2019-05-04,58
2019-05-05,71
2019-05-06,100
2019-05-07,86
2019-05-08,81
2019-05-09,92
2019-05-10,86
2019-05-11,83
2019-05-12,63
2019-05-13,72
2019-05-14,86
2019-05-15,91
2019-05-16,79
2019-05-17,86
2019-05-18,98
2019-05-19,83
2019-05-20,87
2019-05-21,86
2019-05-22,120
2019-05-23,101
2019-05-24,94
2019-05-25,92
2019-05-26,82
2019-05-27,98
2019-05-28,101
2019-05-29,107
2019-05-30,103
2019-05-31,82
2019-06-01,97
2019-06-02,91
2019-06-03,90
2019-06-04,81
2019-06-05,84
2019-06-06,82
2019-06-07,95
2019-06-08,95
2019-06-09,109
2019-06-10,99
2019-06-11,95
2019-06-12,99
2019-06-13,89
2019-06-14,103
2019-06-15,88
2019-06-16,111
2019-06-17,87
2019-06-18,99
2019-06-19,89
2019-06-20,101
2019-06-21,106
2019-06-22,100
2019-06-23,98
2019-06-24,103
2019-06-25,108
2019-06-26,92
2019-06-27,87
2019-06-28,110
2019-06-29,110
2019-06-30,69
2019-07-01,83
2019-07-02,91
2019-07-03,62
2019-07-04,79
2019-07-05,107
2019-07-06,93
2019-07-07,86
2019-07-08,101
2019-07-09,98
2019-07-10,95
2019-07-11,87
2019-07-12,81
2019-07-13,91
2019-07-14,102
2019-07-15,111
2019-07-16,83
2019-07-17,104
2019-07-18,82
2019-07-19,93
2019-07-20,95
2019-07-21,91
2019-07-22,115
2019-07-23,98
2019-07-24,107
2019-07-25,108
2019-07-26,124
2019-07-27,119
2019-07-28,108
2019-07-29,111
2019-07-30,130
2019-07-31,95
2019-08-01,86
2019-08-02,97
2019-08-03,97
2019-08-04,94
2019-08-05,117
2019-08-06,100
2019-08-07,103
2019-08-08,98
2019-08-09,98
2019-08-10,95
2019-08-11,84
2019-08-12,110
2019-08-13,92
2019-08-14,122
2019-08-15,95
2019-08-16,119
2019-08-17,109
2019-08-18,95
2019-08-19,101
2019-08-20,86
2019-08-21,104
2019-08-22,103
2019-08-23,101
2019-08-24,116
2019-08-25,86
2019-08-26,91
2019-08-27,84
2019-08-28,107
2019-08-29,95
2019-08-30,101
2019-08-31,95
2019-09-01,99
2019-09-02,98
2019-09-03,101
2019-09-04,86
2019-09-05,104
2019-09-06,106
2019-09-07,112
2019-09-08,93
2019-09-09,88
2019-09-10,91
2019-09-11,110
2019-09-12,105
2019-09-13,125
2019-09-14,101
2019-09-15,117
2019-09-16,101
2019-09-17,103
2019-09-18,90
2019-09-19,98
2019-09-20,120
2019-09-21,106
2019-09-22,109
2019-09-23,106
2019-09-24,82
2019-09-25,82
2019-09-26,106
2019-09-27,105
2019-09-28,116
2019-09-29,107
2019-09-30,108
2019-10-01,87
2019-10-02,90
2019-10-03,83
2019-10-04,97
2019-10-05,96
2019-10-06,85
2019-10-07,109
2019-10-08,100
2019-10-09,96
2019-10-10,119
2019-10-11,116
2019-10-12,146
2019-10-13,105
2019-10-14,110
2019-10-15,89
2019-10-16,77
2019-10-17,94
2019-10-18,116
2019-10-19,95
2019-10-20,78
2019-10-21,112
2019-10-22,81
2019-10-23,114
2019-10-24,141
2019-10-25,142
2019-10-26,97
2019-10-27,106
2019-10-28,102
2019-10-29,86
2019-10-30,101
2019-10-31,105
2019-11-01,102
2019-11-02,98
2019-11-03,86
2019-11-04,112
2019-11-05,90
2019-11-06,94
2019-11-07,90
2019-11-08,96
2019-11-09,78
2019-11-10,96
2019-11-11,99
2019-11-12,104
2019-11-13,100
2019-11-14,104
2019-11-15,113
2019-11-16,117
2019-11-17,106
2019-11-18,103
2019-11-19,96
2019-11-20,113
2019-11-21,106
2019-11-22,118
2019-11-23,105
2019-11-24,79
2019-11-25,114
2019-11-26,94
2019-11-27,107
2019-11-28,42
2019-11-29,77
2019-11-30,77
2019-12-01,87
2019-12-02,98
2019-12-03,121
2019-12-04,85
2019-12-05,82
2019-12-06,123
2019-12-07,115
2019-12-08,110
2019-12-09,103
2019-12-10,87
2019-12-11,105
2019-12-12,99
2019-12-13,117
2019-12-14,107
2019-12-15,81
2019-12-16,105
2019-12-17,84
2019-12-18,88
2019-12-19,85
2019-12-20,102
2019-12-21,91
2019-12-22,101
2019-12-23,99
2019-12-24,69
2019-12-25,38
2019-12-26,55
2019-12-27,91
2019-12-28,123
2019-12-29,78
2019-12-30,91
2019-12-31,37

